,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
15,15,15,2015,160040013,ROBBERY,"ROBBERY, ARMED WITH A GUN",Friday,01/15/2016 12:00:00 AM,01:53,MISSION,NONE,26TH ST / FOLSOM ST,-122.413771304802,37.7493045778658,"(37.7493045778658, -122.413771304802)",16004001303071
16,16,16,2016,160111686,OTHER OFFENSES,RESISTING ARREST,Sunday,02/07/2016 12:00:00 AM,10:16,RICHMOND,"ARREST, BOOKED",22ND AV / CLEMENT ST,-122.481661655043,37.7821596145828,"(37.7821596145828, -122.481661655043)",16011168627170
17,17,17,2017,160111686,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,02/07/2016 12:00:00 AM,10:16,RICHMOND,"ARREST, BOOKED",22ND AV / CLEMENT ST,-122.481661655043,37.7821596145828,"(37.7821596145828, -122.481661655043)",16011168664020
18,18,18,2018,160111692,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,02/07/2016 12:00:00 AM,00:01,BAYVIEW,NONE,100 Block of BRIDGEVIEW DR,-122.396732910008,37.7353451321776,"(37.7353451321776, -122.396732910008)",16011169228160
19,19,19,2019,160122360,VEHICLE THEFT,STOLEN MOTORCYCLE,Tuesday,02/09/2016 12:00:00 AM,12:00,INGLESIDE,NONE,1500 Block of TREAT AV,-122.41250614556,37.7456802881475,"(37.7456802881475, -122.41250614556)",16012236007023
20,20,20,2020,160122376,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Wednesday,02/10/2016 12:00:00 AM,16:24,TENDERLOIN,"ARREST, BOOKED",100 Block of TURK ST,-122.411615075408,37.7831614109395,"(37.7831614109395, -122.411615075408)",16012237616110
21,21,21,2021,160122376,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Wednesday,02/10/2016 12:00:00 AM,16:24,TENDERLOIN,"ARREST, BOOKED",100 Block of TURK ST,-122.411615075408,37.7831614109395,"(37.7831614109395, -122.411615075408)",16012237616652
22,22,22,2022,160122473,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,02/10/2016 12:00:00 AM,15:50,TENDERLOIN,NONE,200 Block of POWELL ST,-122.408064958219,37.7869021819676,"(37.7869021819676, -122.408064958219)",16012247306362
23,23,23,2023,160122489,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,02/10/2016 12:00:00 AM,14:45,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,-122.475647460786,37.7285280627465,"(37.7285280627465, -122.475647460786)",16012248906363
24,24,24,2024,160026831,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,01/10/2016 12:00:00 AM,17:36,SOUTHERN,NONE,200 Block of BRANNAN ST,-122.391769519212,37.7821670175043,"(37.7821670175043, -122.391769519212)",16002683106243
25,25,25,2025,160112010,NON-CRIMINAL,COURTESY REPORT,Sunday,02/07/2016 12:00:00 AM,02:00,BAYVIEW,NONE,1200 Block of 3RD ST,-122.389517648036,37.7724682400061,"(37.7724682400061, -122.389517648036)",16011201068030
26,26,26,2026,160122508,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Wednesday,02/10/2016 12:00:00 AM,12:03,TARAVAL,NONE,200 Block of WINSTON DR,-122.475491822708,37.7268308382992,"(37.7268308382992, -122.475491822708)",16012250806364
27,27,27,2027,160122514,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,02/10/2016 12:00:00 AM,13:00,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.7867342184983,"(37.7867342184983, -122.405895369887)",16012251406363
28,28,28,2028,160122520,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,02/10/2016 12:00:00 AM,14:00,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.7867342184983,"(37.7867342184983, -122.405895369887)",16012252006363
29,29,29,2029,160122520,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,02/10/2016 12:00:00 AM,14:00,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.7867342184983,"(37.7867342184983, -122.405895369887)",16012252062050
30,30,30,2030,160122586,ASSAULT,BATTERY,Wednesday,02/10/2016 12:00:00 AM,16:32,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 4TH ST,-122.402712593282,37.7832596543979,"(37.7832596543979, -122.402712593282)",16012258604134
31,31,31,2031,160122592,NON-CRIMINAL,FOUND PROPERTY,Wednesday,02/10/2016 12:00:00 AM,16:00,CENTRAL,NONE,700 Block of VALLEJO ST,-122.409791662293,37.7985083480435,"(37.7985083480435, -122.409791662293)",16012259272000
32,32,32,2032,160027237,ASSAULT,BATTERY,Saturday,01/09/2016 12:00:00 AM,23:00,TARAVAL,NONE,1300 Block of 43RD AV,-122.502708098898,37.7614820910625,"(37.7614820910625, -122.502708098898)",16002723704134
33,33,33,2033,160041259,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Thursday,01/14/2016 12:00:00 AM,21:00,PARK,NONE,100 Block of DELLBROOK AV,-122.454041616763,37.7495546551882,"(37.7495546551882, -122.454041616763)",16004125906223
34,34,34,2034,160041271,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,01/12/2016 12:00:00 AM,22:19,CENTRAL,NONE,600 Block of STOCKTON ST,-122.407354509443,37.7917926375029,"(37.7917926375029, -122.407354509443)",16004127106304
35,35,35,2035,160112468,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,02/06/2016 12:00:00 AM,14:30,NORTHERN,NONE,GROVE ST / VANNESS AV,-122.419884939457,37.7782510832412,"(37.7782510832412, -122.419884939457)",16011246828160
36,36,36,2036,160112474,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,02/07/2016 12:00:00 AM,14:06,TARAVAL,"ARREST, BOOKED",2600 Block of QUINTARA ST,-122.493776736702,37.7479190265905,"(37.7479190265905, -122.493776736702)",16011247462050
37,37,37,2037,160112496,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Thursday,02/04/2016 12:00:00 AM,15:00,MISSION,NONE,300 Block of SAN JOSE AV,-122.421406672969,37.7494022896942,"(37.7494022896942, -122.421406672969)",16011249605071
38,38,38,2038,160122821,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,02/01/2016 12:00:00 AM,12:15,TENDERLOIN,NONE,100 Block of TURK ST,-122.411615075408,37.7831614109395,"(37.7831614109395, -122.411615075408)",16012282107020
39,39,39,2039,160122821,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/01/2016 12:00:00 AM,12:15,TENDERLOIN,NONE,100 Block of TURK ST,-122.411615075408,37.7831614109395,"(37.7831614109395, -122.411615075408)",16012282107021
40,40,40,2040,160122837,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/03/2016 12:00:00 AM,03:00,MISSION,NONE,0 Block of CASELLI AV,-122.440193564371,37.7598029789713,"(37.7598029789713, -122.440193564371)",16012283707021
41,41,41,2041,160122843,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,02/10/2016 12:00:00 AM,18:08,CENTRAL,"ARREST, BOOKED",CALIFORNIA ST / POWELL ST,-122.409175171456,37.7920414139396,"(37.7920414139396, -122.409175171456)",16012284365016
42,42,42,2042,160122859,NON-CRIMINAL,"CIVIL SIDEWALKS, WARNING",Wednesday,02/10/2016 12:00:00 AM,18:15,PARK,NONE,1700 Block of HAIGHT ST,-122.451288061231,37.7693967099165,"(37.7693967099165, -122.451288061231)",16012285964001
43,43,43,2043,160041748,MISSING PERSON,MISSING ADULT,Friday,01/15/2016 12:00:00 AM,15:10,SOUTHERN,UNFOUNDED,3RD ST / MARKET ST,-122.403434086745,37.78764305018,"(37.78764305018, -122.403434086745)",16004174874000
44,44,44,2044,160041748,MISSING PERSON,FOUND PERSON,Friday,01/15/2016 12:00:00 AM,15:10,SOUTHERN,UNFOUNDED,3RD ST / MARKET ST,-122.403434086745,37.78764305018,"(37.78764305018, -122.403434086745)",16004174875000
45,45,45,2045,160098670,WARRANTS,WARRANT ARREST,Wednesday,02/03/2016 12:00:00 AM,07:35,SOUTHERN,NONE,1100 Block of MISSION ST,-122.412736707425,37.7777124404316,"(37.7777124404316, -122.412736707425)",16009867063010
46,46,46,2046,160098686,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,02/03/2016 12:00:00 AM,08:02,SOUTHERN,"ARREST, BOOKED",13TH ST / HARRISON ST,-122.413388483267,37.7695006538677,"(37.7695006538677, -122.413388483267)",16009868665016
47,47,47,2047,160098692,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,02/03/2016 12:00:00 AM,08:35,BAYVIEW,"ARREST, BOOKED",INDUSTRIAL ST / LOOMIS ST,-122.405646994567,37.7383221869053,"(37.7383221869053, -122.405646994567)",16009869265016
48,48,48,2048,160098777,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/02/2016 12:00:00 AM,17:00,RICHMOND,NONE,800 Block of 29TH AV,-122.488606513564,37.773286576608,"(37.773286576608, -122.488606513564)",16009877707021
49,49,49,2049,160098783,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Friday,02/05/2016 12:00:00 AM,09:20,RICHMOND,NONE,400 Block of 6TH AV,-122.464279879446,37.7800332991006,"(37.7800332991006, -122.464279879446)",16009878351041
50,50,50,2050,160112822,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Sunday,02/07/2016 12:00:00 AM,16:00,SOUTHERN,NONE,MARKET ST / VANNESS AV,-122.419257894814,37.7751462916539,"(37.7751462916539, -122.419257894814)",16011282209024
51,51,51,2051,160112838,ASSAULT,THREATS AGAINST LIFE,Sunday,02/07/2016 12:00:00 AM,16:20,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.407633520742,37.7841893501425,"(37.7841893501425, -122.407633520742)",16011283819057
52,52,52,2052,160129827,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Saturday,02/13/2016 12:00:00 AM,07:48,MISSION,"ARREST, BOOKED",SAN BRUNO AV / 15TH ST,-122.405709610192,37.7671995252945,"(37.7671995252945, -122.405709610192)",16012982730200
53,53,53,2053,160129855,FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,02/13/2016 12:00:00 AM,07:30,BAYVIEW,NONE,2400 Block of SAN BRUNO AV,-122.404830420604,37.7307945918953,"(37.7307945918953, -122.404830420604)",16012985509320
54,54,54,2054,160489182,MISSING PERSON,MISSING ADULT,Monday,04/25/2016 12:00:00 AM,12:00,CENTRAL,NONE,700 Block of STOCKTON ST,-122.407500737639,37.7925035706535,"(37.7925035706535, -122.407500737639)",16048918274000
55,55,55,2055,160489198,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Tuesday,06/14/2016 12:00:00 AM,09:00,MISSION,NONE,19TH ST / SOUTH VAN NESS AV,-122.417028392106,37.7603656931573,"(37.7603656931573, -122.417028392106)",16048919804013
56,56,56,2056,160122956,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,02/10/2016 12:00:00 AM,18:16,TENDERLOIN,"ARREST, BOOKED",0 Block of MCALLISTER ST,-122.413401299155,37.780906077687,"(37.780906077687, -122.413401299155)",16012295616010
57,57,57,2057,160123512,NON-CRIMINAL,FOUND PROPERTY,Sunday,02/07/2016 12:00:00 AM,13:10,NORTHERN,NONE,STEINER ST / OAK ST,-122.432469285221,37.7737575247075,"(37.7737575247075, -122.432469285221)",16012351272000
58,58,58,2058,160490208,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,06/16/2016 12:00:00 AM,12:00,SOUTHERN,NONE,3RD ST / STEVENSON ST,-122.403030543289,37.7870232709481,"(37.7870232709481, -122.403030543289)",16049020803074
59,59,59,2059,160490214,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,06/16/2016 12:00:00 AM,17:18,SOUTHERN,"ARREST, BOOKED",NATOMA ST / 6TH ST,-122.407693108529,37.7801630691196,"(37.7801630691196, -122.407693108529)",16049021416710
60,60,60,2060,160100742,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,02/03/2016 12:00:00 AM,18:37,SOUTHERN,"ARREST, BOOKED",0 Block of ESSEX ST,-122.395062469002,37.7859930647181,"(37.7859930647181, -122.395062469002)",16010074216650
61,61,61,2061,160100742,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,02/03/2016 12:00:00 AM,18:37,SOUTHERN,"ARREST, BOOKED",0 Block of ESSEX ST,-122.395062469002,37.7859930647181,"(37.7859930647181, -122.395062469002)",16010074262050
62,62,62,2062,160100758,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,02/03/2016 12:00:00 AM,19:01,SOUTHERN,NONE,1200 Block of MARKET ST,-122.415444159886,37.7780245674641,"(37.7780245674641, -122.415444159886)",16010075864085
63,63,63,2063,160100764,VEHICLE THEFT,STOLEN TRUCK,Tuesday,02/02/2016 12:00:00 AM,21:00,INGLESIDE,NONE,100 Block of BANKS ST,-122.412704829011,37.740841244439,"(37.740841244439, -122.412704829011)",16010076407025
64,64,64,2064,160100770,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,02/03/2016 12:00:00 AM,19:23,SOUTHERN,NONE,300 Block of TOWNSEND ST,-122.396066441121,37.7761550026239,"(37.7761550026239, -122.396066441121)",16010077064020
65,65,65,2065,160100786,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,02/03/2016 12:00:00 AM,17:09,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.407845374111,37.7850943210103,"(37.7850943210103, -122.407845374111)",16010078606363
66,66,66,2066,160100877,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,02/03/2016 12:00:00 AM,19:13,SOUTHERN,NONE,1000 Block of MARKET ST,-122.411339562557,37.7812707434494,"(37.7812707434494, -122.411339562557)",16010087764085
67,67,67,2067,160100883,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,02/03/2016 12:00:00 AM,18:28,NORTHERN,NONE,GOLDEN GATE AV / POLK ST,-122.418809581375,37.78123525699,"(37.78123525699, -122.418809581375)",16010088368050
68,68,68,2068,160123829,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Thursday,02/11/2016 12:00:00 AM,03:08,TENDERLOIN,NONE,GOLDEN GATE AV / HYDE ST,-122.415508242782,37.7816542806076,"(37.7816542806076, -122.415508242782)",16012382903414
69,69,69,2069,160124065,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Wednesday,02/10/2016 12:00:00 AM,22:30,PARK,NONE,1000 Block of ASHBURY ST,-122.446726440841,37.7632137032178,"(37.7632137032178, -122.446726440841)",16012406505081
70,70,70,2070,160491109,NON-CRIMINAL,AIDED CASE,Friday,06/17/2016 12:00:00 AM,00:04,CENTRAL,NONE,1600 Block of HYDE ST,-122.418333961103,37.7960103999343,"(37.7960103999343, -122.418333961103)",16049110951040
71,71,71,2071,160491115,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Friday,06/17/2016 12:00:00 AM,00:06,SOUTHERN,"ARREST, BOOKED",FOLSOM ST / 9TH ST,-122.411612378034,37.7737679567236,"(37.7737679567236, -122.411612378034)",16049111527130
72,72,72,2072,160115086,WARRANTS,WARRANT ARREST,Monday,02/08/2016 12:00:00 AM,12:30,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",16011508663010
73,73,73,2073,160124695,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,02/11/2016 12:00:00 AM,12:17,INGLESIDE,NONE,100 Block of TIOGA AV,-122.406713974932,37.7168350790666,"(37.7168350790666, -122.406713974932)",16012469564020
74,74,74,2074,160124708,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,02/10/2016 12:00:00 AM,20:00,INGLESIDE,NONE,0 Block of EDNA ST,-122.446621710497,37.7270884775069,"(37.7270884775069, -122.446621710497)",16012470816710
75,75,75,2075,160124708,TRESPASS,TRESPASSING,Wednesday,02/10/2016 12:00:00 AM,20:00,INGLESIDE,NONE,0 Block of EDNA ST,-122.446621710497,37.7270884775069,"(37.7270884775069, -122.446621710497)",16012470827195
76,76,76,2076,160124742,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,02/09/2016 12:00:00 AM,09:00,CENTRAL,NONE,1400 Block of CALIFORNIA ST,-122.418219833881,37.7908244663738,"(37.7908244663738, -122.418219833881)",16012474206303
77,77,77,2077,160124805,TRESPASS,TRESPASSING,Thursday,02/11/2016 12:00:00 AM,13:15,NORTHERN,"ARREST, BOOKED",2000 Block of UNION ST,-122.433030311668,37.7973462529678,"(37.7973462529678, -122.433030311668)",16012480527195
78,78,78,2078,160124811,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Wednesday,02/10/2016 12:00:00 AM,09:00,RICHMOND,NONE,400 Block of 6TH AV,-122.464279879446,37.7800332991006,"(37.7800332991006, -122.464279879446)",16012481109024
79,79,79,2079,160124849,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Wednesday,02/10/2016 12:00:00 AM,01:30,INGLESIDE,NONE,100 Block of PRECITA AV,-122.417225757723,37.7471608234479,"(37.7471608234479, -122.417225757723)",16012484905083
80,80,80,2080,160042122,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,01/15/2016 12:00:00 AM,17:41,TENDERLOIN,EXCEPTIONAL CLEARANCE,300 Block of ELLIS ST,-122.411987643595,37.7850226622786,"(37.7850226622786, -122.411987643595)",16004212264020
81,81,81,2081,160101552,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH A GUN,Wednesday,02/03/2016 12:00:00 AM,23:31,MISSION,"ARREST, BOOKED",POTRERO AV / 24TH ST,-122.406338412685,37.7530042877223,"(37.7530042877223, -122.406338412685)",16010155203411
82,82,82,2082,160101552,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,02/03/2016 12:00:00 AM,23:31,MISSION,"ARREST, BOOKED",POTRERO AV / 24TH ST,-122.406338412685,37.7530042877223,"(37.7530042877223, -122.406338412685)",16010155204154
83,83,83,2083,160101552,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Wednesday,02/03/2016 12:00:00 AM,23:31,MISSION,"ARREST, BOOKED",POTRERO AV / 24TH ST,-122.406338412685,37.7530042877223,"(37.7530042877223, -122.406338412685)",16010155211012
84,84,84,2084,160101552,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Wednesday,02/03/2016 12:00:00 AM,23:31,MISSION,"ARREST, BOOKED",POTRERO AV / 24TH ST,-122.406338412685,37.7530042877223,"(37.7530042877223, -122.406338412685)",16010155212030
85,85,85,2085,160101552,OTHER OFFENSES,CONSPIRACY,Wednesday,02/03/2016 12:00:00 AM,23:31,MISSION,"ARREST, BOOKED",POTRERO AV / 24TH ST,-122.406338412685,37.7530042877223,"(37.7530042877223, -122.406338412685)",16010155226080
86,86,86,2086,160115321,BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Sunday,02/07/2016 12:00:00 AM,20:30,TARAVAL,NONE,1000 Block of TARAVAL ST,-122.477314517687,37.7430334964477,"(37.7430334964477, -122.477314517687)",16011532105051
87,87,87,2087,160115343,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,02/08/2016 12:00:00 AM,14:07,INGLESIDE,NONE,600 Block of SAN JOSE AV,-122.422657009241,37.7443660385474,"(37.7443660385474, -122.422657009241)",16011534328160
88,88,88,2088,160115359,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Sunday,02/07/2016 12:00:00 AM,16:00,TARAVAL,NONE,2000 Block of VICENTE ST,-122.488828136038,37.738678665844,"(37.738678665844, -122.488828136038)",16011535905041
89,89,89,2089,160115365,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,02/03/2016 12:00:00 AM,17:00,CENTRAL,NONE,100 Block of KEARNY ST,-122.403862536276,37.789587561169,"(37.789587561169, -122.403862536276)",16011536506304
90,90,90,2090,160030434,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,01/12/2016 12:00:00 AM,01:45,TENDERLOIN,"ARREST, BOOKED",100 Block of TURK ST,-122.411593095704,37.7830529510782,"(37.7830529510782, -122.411593095704)",16003043465015
91,91,91,2091,160115365,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,02/03/2016 12:00:00 AM,17:00,CENTRAL,NONE,100 Block of KEARNY ST,-122.403862536276,37.789587561169,"(37.789587561169, -122.403862536276)",16011536509320
92,92,92,2092,160125251,NON-CRIMINAL,LOST PROPERTY,Thursday,02/11/2016 12:00:00 AM,08:30,PARK,NONE,STANYAN ST / HAIGHT ST,-122.45353456066,37.7691662978052,"(37.7691662978052, -122.45353456066)",16012525171000
93,93,93,2093,160125267,WARRANTS,WARRANT ARREST,Thursday,02/11/2016 12:00:00 AM,15:53,MISSION,"ARREST, BOOKED",14TH ST / SHOTWELL ST,-122.416708153993,37.7684715664092,"(37.7684715664092, -122.416708153993)",16012526763010
94,94,94,2094,160125320,DISORDERLY CONDUCT,"DISTURBING THE PEACE, SWEARING",Thursday,02/11/2016 12:00:00 AM,16:07,NORTHERN,NONE,500 Block of VANNESS AV,-122.42013210843,37.7803430365381,"(37.7803430365381, -122.42013210843)",16012532019028
95,95,95,2095,160125336,NON-CRIMINAL,FOUND PROPERTY,Sunday,01/31/2016 12:00:00 AM,09:00,CENTRAL,NONE,300 Block of THE EMBARCADERONORTH ST,-122.396374439116,37.7980532528058,"(37.7980532528058, -122.396374439116)",16012533672000
96,96,96,2096,160125342,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,02/11/2016 12:00:00 AM,15:50,SOUTHERN,NONE,200 Block of TOWNSEND ST,-122.394491170773,37.7775540286252,"(37.7775540286252, -122.394491170773)",16012534206224
97,97,97,2097,160125358,ASSAULT,BATTERY,Tuesday,02/09/2016 12:00:00 AM,22:30,MISSION,NONE,25TH ST / MISSION ST,-122.418289276866,37.750640293923,"(37.750640293923, -122.418289276866)",16012535804134
98,98,98,2098,160125364,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,02/11/2016 12:00:00 AM,16:35,INGLESIDE,NONE,100 Block of ADDISON ST,-122.432513268341,37.7377582824808,"(37.7377582824808, -122.432513268341)",16012536464020
99,99,99,2099,160031454,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,01/11/2016 12:00:00 AM,15:00,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685,"(37.7865647607685, -122.407244087032)",16003145406154
100,100,100,2100,160031454,FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,01/11/2016 12:00:00 AM,15:00,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685,"(37.7865647607685, -122.407244087032)",16003145409320
